dam_name,county,state,latitude,longitude
Lake Latonka Dam,Marshall,IN,41.288055,-86.406666
Lake Of The Four Seasons (Lower) C,Lake,IN,41.389721,-87.220277
Lake Of The Woods Dam,Porter,IN,41.4575,-87.050833
Lake Salinda Dam,Washington,IN,38.57611,-86.084721
Magness Lake Dam #1,Brown,IN,39.203333,-86.27111
Miller Lake Dam,Brown,IN,39.203333,-86.23722099999999
Moriarity Lake Dam,Grant,IN,40.525277,-85.61
Muddy Fork Structure No. 3,Clark,IN,38.440554999999996,-85.982777
Muddy Fork Structure No. 6,Clark,IN,38.440554999999996,-85.898055
North Lake Estates West Lake Dam,Vanderburgh,IN,38.050833000000004,-87.660833
Ogle Lake Dam,Brown,IN,39.1525,-86.23722099999999
Orleans Lake Dam,Orange,IN,38.677777,-86.440555
Reverend Frame Lake Dam,Brown,IN,39.203333,-86.27111
Ridgeview Lake Dam,Cass,IN,40.728609999999996,-86.525277
Robert Crowder Dam,Parke,IN,39.677777,-87.10166600000001
Roc-Mar-Ton Lake Dam,Madison,IN,40.0,-85.593055
Roger Young Lake Dam,Johnson,IN,39.338888,-86.13555500000001
Saddle Lake Dam,Adams,IN,40.864166,-84.898055
Schnellville Conservation Club Lake Dam,Dubois,IN,38.355833000000004,-86.74555500000001
Sugar Hills Lake Dam,Hancock,IN,39.864166,-85.830277
Svcd Structure No. F-6 (Collins Lake),Orange,IN,38.474443,-86.593055
Terrace Lake Dam,Bartholomew,IN,39.186388,-85.96583299999999
Thomas J. Miller Lake Dam,Scott,IN,38.643888000000004,-85.72861
Tousley Dam,Brown,IN,39.237221000000005,-86.084721
Treece Lake Dam,Tippecanoe,IN,40.508333,-86.74555500000001
Twin-Rush Creek Dam No. 1,Washington,IN,38.694721,-86.220277
Twin-Rush Creek Dam No. 2,Washington,IN,38.694721,-86.1525
Twin-Rush Creek Dam No. 3,Washington,IN,38.677777,-86.169443
Upper Spring Lake Dam,Morgan,IN,39.593055,-86.305
Van Rooy Lake Dam,Morgan,IN,39.440554999999996,-86.288055
Versailles Lake Dam,Ripley,IN,39.067777,-85.23722099999999
Wagner Youth Camp Lake Dam,Grant,IN,40.593055,-85.660833
Whip-Poor-Will Dam,Morgan,IN,39.338888,-86.47444300000001
Wildwood Shores Lake Dam,Morgan,IN,39.61,-86.288055
Wright Lake Dam,Brown,IN,39.169443,-86.11861
Yarling Lake Dam,Brown,IN,39.321943,-86.186388
